,n_missing,n_obs,min,max,first_valid,last_valid
AAPL,1,192,-0.181197551067387,0.21656918328827102,2010-01-31,2025-12-31
MSFT,1,192,-0.151394276846483,0.19626167095788705,2010-01-31,2025-12-31
AMZN,1,192,-0.2375250931362105,0.27059597129750057,2010-01-31,2025-12-31
JPM,1,192,-0.2287107770093102,0.21537081817922954,2010-01-31,2025-12-31
JNJ,1,192,-0.1215111983841336,0.14420786341462466,2010-01-31,2025-12-31
XOM,1,192,-0.26185836532145246,0.2691558020908009,2010-01-31,2025-12-31
PG,1,192,-0.09139766768086299,0.13141505627032313,2010-01-31,2025-12-31
CAT,1,192,-0.19933667987491843,0.32806189435933586,2010-01-31,2025-12-31
KO,1,192,-0.1654873166480738,0.12888465969730367,2010-01-31,2025-12-31
WMT,1,192,-0.15616980120689372,0.14776457437134383,2010-01-31,2025-12-31
mkt_return,1,192,-0.12487139632848954,0.12698332246136124,2010-01-31,2025-12-31
vix,0,193,9.510000228881836,53.540000915527344,2009-12-31,2025-12-31
rf_return,0,193,0.0,0.004543078952765622,2009-12-31,2025-12-31
