delta,eta,es_baseline,riqueza_final,log_crecimiento_medio,CAGR,varianza_mensual,max_drawdown,peor_mes,percentil5_mensual,VaR_perdida,CVaR_perdida,turnover_total,n_transacciones,turnover_medio_activo,costo_total,costo_medio,peso_max_promedio,peso_max_pico,Neff_promedio,violaciones_delta,min_factor_crecimiento,fraccion_factible,fallos_solver,n_meses,CAGR_diff_vs_baseline,MDD_diff_vs_baseline
0.5,0,1,2.36648994406212,0.0179459962722512,0.240298349692482,0.00241165965245325,0.195859054843762,-0.108608847343816,-0.0669313530032469,0.0669313530032468,0.0950422343927115,4.73364470665821,48,0.0986175980553793,0.00677474435773065,0.000141140507452722,0.250024333264218,0.250249998760772,4.21692695510823,0,0.891391152656184,1,0,48,0,0
0.5,0.01,0,2.32589317938113,0.0175855026758796,0.234944502854783,0.00233629379262469,0.195866524740153,-0.108609059424385,-0.061984195015993,0.0619841950159929,0.0950421505789472,4.13530655951723,48,0.0861522199899423,0.00599340601292776,0.000124862625269328,0.250021506357135,0.250249999925491,4.33292794093709,0,0.891390940575615,1,0,48,-0.00535384683769879,7.46989639155426e-06
0.5,0.02,0,2.22164619774661,0.0166301760750576,0.220868038731226,0.00231816275764843,0.197171533445228,-0.108608834789054,-0.0624333851941586,0.0624333851941585,0.0964875196063911,4.24245698388016,48,0.0883845204975034,0.00614603334504657,0.000128042361355137,0.250022067464502,0.25024999980866,4.31357948558445,0,0.891391165210946,1,0,48,-0.0194303109612557,0.00131247860146599
0.5,0.03,0,2.18244092303684,0.0162592487475566,0.215445875229105,0.00225909534171754,0.194688725646612,-0.10636815399963,-0.0611977696819067,0.0611977696819066,0.0947162547756912,3.94474937598081,48,0.082182278666267,0.00562587931699284,0.000117205819104018,0.250020506963813,0.250249993032823,4.36407832265456,0,0.89363184600037,1,0,48,-0.0248524744633762,-0.00117032919714988
0.5,0.04,0,2.06700657633876,0.0151271137975169,0.199044950782853,0.00223190536422037,0.195569805617363,-0.106368051258202,-0.0604779161699064,0.0604779161699063,0.0959522097886211,4.07945858733649,48,0.0849887205695101,0.00555153918126409,0.000115657066276335,0.249419998256867,0.250249996396242,4.40209217004307,0,0.893631948741798,1,0,48,-0.0412533989096289,-0.000289249226399058
0.5,0.05,0,2.09478216435546,0.015405199357083,0.203052879378978,0.0022113143280755,0.199701626854548,-0.108803222971431,-0.0613864605954223,0.0613864605954222,0.0984730502801429,4.07738574050017,48,0.0849455362604202,0.00585246185317835,0.000121926288607882,0.249596115768961,0.250249999595029,4.57348806109661,0,0.891196777028569,1,0,48,-0.0372454703135037,0.00384257201078608
0.5,0.1,0,1.69394012244199,0.0109803593491381,0.14083940563718,0.0015799551848334,0.17438649542195,-0.10366939754697,-0.064647143219525,0.0646471432195249,0.0937874641271811,4.22870705702147,48,0.0880980636879474,0.00531076386924465,0.000110640913942597,0.248599501482222,0.250078232337682,5.82729967848442,0,0.89633060245303,1,0,48,-0.099458944055302,-0.0214725594218124
0.5,0.15,0,1.5703568429136,0.00940214337529382,0.11943682106157,0.00128670452275323,0.140166068774244,-0.0961863361226497,-0.0620819236865534,0.0620819236865534,0.0829122297497455,3.61494413329155,48,0.0753113361102405,0.00436951351063174,9.10315314714947e-05,0.245379945301589,0.294336392552525,6.85807355487715,0,0.90381366387735,1,0,48,-0.120861528630912,-0.0556929860695181
0.5,0.3,0,1.03195900865012,0.000655394707713052,0.0078957447699437,3.87960061229695e-07,0,1.27901761204363e-06,1.053848139283e-05,-1.053848139283e-05,-5.40414588134919e-06,0.00691044432427504,48,0.000143967590089063,6.97419572950207e-06,1.45295744364626e-07,0.316350236354342,0.43918188276749,5.71383215527077,0,1.00000127901761,1,0,48,-0.232402604922538,-0.195859054843762
0.5,0.5,0,1.03184115614574,0.000653015348943277,0.00786696743382298,3.88377121487016e-07,0,3.70463396537346e-06,8.56064436469683e-06,-8.56064436469684e-06,-5.53954268700529e-06,0.00362354800390686,48,7.54905834147263e-05,3.6549121448544e-06,7.61440030177999e-08,0.352138002366006,0.490970189916546,4.67370230034331,0,1.00000370463397,1,0,48,-0.232431382258659,-0.195859054843762
